Mountain,Metres,Feet,Range,Location
Lupghar Sar,7200,23622,Karakoram,Pakistan
Gurja Himal,7193,23599,Himalayas,Nepal
Melungtse,7181,23560,Rolwaling,China
Liushi Shan,7167,23514,Kunlun,China
Baruntse,7162,23497,Himalayas,Khumbu  Nepal
Pumori,7161,23494,Himalayas,Khumbu  Nepal
Hardeol,7151,23461,Himalayas,India 
Gasherbrum V,7147,23448,Karakoram,Pakistan
Latok I,7145,23442,Karakoram,Pakistan
Kampire Dior,7143,23435,Karakoram,Pakistan
Nemjung,7140,23425,Himalayas,Nepal
Udren Zom,7140,23425,Hindu Kush,Pakistan
Chaukhamba,7138,23419,Himalayas,India 
Nun Kun,7135,23409,Karakoram,India
Tilicho Peak,7134,23406,Himalayas,Annapurna Himal  Nepal
Gauri Sankar,7134,23406,Rolwaling,Nepal
Lenin Peak,7134,23406,Pamir Mountains,Tajikistan-Kyrgyzstan
Bularung Sar,7134,23406,Karakoram,Pakistan
Api,7132,23399,Himalayas,Nepal
Teri Kang,7124,23373,Himalayas,Bhutan
Pauhunri,7128,23386,Himalayas,India 
Trisul,7120,23360,Himalayas,India 
Korzhenevskaya,7105,23310,Pamir Mountains,Tajikistan
Lunpo Gangri,7095,23278,Himalayas (Gangdise),China
Satopanth,7075,23212,Himalayas,India 
Tirsuli,7074,23209,Himalayas,India 
Dunagiri,7066,23182,Himalayas,India 
Kangto,7060,23163,Himalayas,India 
Nyegyi Kansang,7047,23120,Himalayas,India 
Chomolhari Kang,7046,23117,Himalayas,Bhutan
Salasungo,7043,23107,Himalayas,Nepal
Link Sar,7041,23100,Karakoram,Pakistan
Kezhen Peak,7038,23091,Karakoram,China 
Shah Dhar,7038,23091,Hindu Kush,Pakistan
Saipal,7031,23068,Himalayas,Nepal
Padmanabh,7030,23064,Himalayas,India
Spantik,7027,23054,Karakoram,Pakistan
Pamri Sar,7016,23018,Karakoram,Pakistan
Khan Tengri,7010,22999,Tian Shan,Kyrgyzstan-Kazakhstan-China
Machapuchare,6993,22943,Annapurna Himalaya ,Annapurna Himalaya 
Laila Peak (Haramosh Valley),6985,22917,Karakoram ,Karakoram  Pakistan
Kang Guru,6981,22904,Manaslu Himalaya ,Manaslu Himalaya  Nepal
Gasherbrum VI,6979,22897,Karakoram ,Karakoram 
Karun Kuh,6977,22890,Karakoram ,Karakoram 
Avicenna Peak,6974,22881,Pamir Mountains ,Pamir Mountains 
Ulugh Muztagh,6973,22877,Kunlun Mountains ,Kunlun Mountains  Often misquoted as 7 723
Aconcagua,6962,22841,Andes ,Andes  Argentina
Napko Kangri,6956,22822,Karakoram ,Karakoram 
Sangemarmar Sar,6949,22799,Karakoram ,Karakoram  Pakistan
Kedarnath (mountain),6940,22769,Himalayas ,Himalayas  India
K7,6934,22749,Karakoram,Karakoram
Panchchuli,6904,22651,Himalayas ,Himalayas  India
Thalay Sagar,6904,22651,Himalayas ,Himalayas  India
Lunkho e Dosare,6901,22641,Hindu Kush ,Hindu Kush  Afghanistan-Pakistan
Lunag Ri,6895,22621,Himalaya ,Himalaya  Nepal-China
Ojos del Salado,6891,22608,Andes ,Andes  Argentina-Chile
Siniolchu,6888,22598,Kangchenjunga Himalaya ,Kangchenjunga Himalaya 
Kanjiroba,6883,22582,Himalayas ,Himalayas  Nepal
Bairiga,6882,22579,Kangri Garpo,Kangri Garpo
Koyo Zom,6872,22546,Hindu Kush ,Hindu Kush  Pakistan
Nanda Kot,6861,22510,Himalayas ,Himalayas  India 
Kubi Gangri,6859,22503,Himalayas ,Himalayas  Nepal
Angel Sar,6858,22500,Karakoram ,Karakoram  Pakistan
Bhagirathi Parbat I,6856,22493,Himalayas ,Himalayas  India 
Jethi Bahurani,6850,22474,Himalayas ,Himalayas  Nepal
